place_id,name,category,latitude,longitude,osm_type,osm_id,osm_url,name_local,name_en,harbour_category,operator,website,phone,vhf_channel,access,fee,capacity,max_draft,max_length,source
1_dead4cd,1,ferry_terminal,40.7441355,13.9393841,node,5292425108,https://www.openstreetmap.org/node/5292425108,1,,,,,,,,,,,,openstreetmap
1sc_zone_41faf05,1SC Zone,anchorage,43.624463,13.4624708,way,308217565,https://www.openstreetmap.org/way/308217565,,,,,,,,,,,,,openstreetmap
2_906c1d0,2,ferry_terminal,40.7442143,13.9392625,node,5292425109,https://www.openstreetmap.org/node/5292425109,2,,,,,,,,,,,,openstreetmap
2c_zone_c0e354c,2C Zone,anchorage,43.6435059,13.4695654,way,308217563,https://www.openstreetmap.org/way/308217563,,,,,,,,,,,,,openstreetmap
3bc_zone_da06f57,3BC Zone,anchorage,43.654407,13.486181,way,308217568,https://www.openstreetmap.org/way/308217568,,,,,,,,,,,,,openstreetmap
4st_zone_e538b5c,4ST Zone,anchorage,43.6468311,13.4264292,way,308217559,https://www.openstreetmap.org/way/308217559,,,,,,,,,,,,,openstreetmap
5t_zone_5a143cf,5T Zone,anchorage,43.6665946,13.4433828,way,308217555,https://www.openstreetmap.org/way/308217555,,,,,,,,,,,,,openstreetmap
6t_zone_b16111f,6T Zone,anchorage,43.7163767,13.5423139,way,308217571,https://www.openstreetmap.org/way/308217571,,,,,,,,,,,,,openstreetmap
a_c523ea5,A,anchorage,45.3216667,14.392,node,8906938196,https://www.openstreetmap.org/node/8906938196,A,,,,,,,,,,,,openstreetmap
abrako_kirol_portua_puerto_deportivo_del_abra_63b8c09,Abrako kirol portua / Puerto Deportivo del Abra,marina,43.3302987,-3.0156501,way,432103022,https://www.openstreetmap.org/way/432103022,Abrako kirol portua / Puerto Deportivo del Abra,,marina,,,,,,,,,,openstreetmap
abri_de_l_olivette_6a0542d,Abri de l'Olivette,marina,43.551549,7.1205417,relation,12907733,https://www.openstreetmap.org/relation/12907733,Abri de l'Olivette,,,,,,,,,,,,openstreetmap
abruzzi_marina_68b67c0,Abruzzi Marina,marina,44.3991242,8.9281301,node,4684382080,https://www.openstreetmap.org/node/4684382080,Abruzzi Marina,,marina,,,,,,,,,,openstreetmap
ac_stupice_91a11e7,AC Stupice,harbour,44.7962352,13.9187533,way,371239554,https://www.openstreetmap.org/way/371239554,AC Stupice,,,,,,,,,,,,openstreetmap
accademia_a_a3cad40,"Accademia ""A""",ferry_terminal,45.4317404,12.3285289,node,695741733,https://www.openstreetmap.org/node/695741733,"Accademia ""A""",,,,,,,,,,,,openstreetmap
accademia_b_103dafb,"Accademia ""B""",ferry_terminal,45.4316374,12.3287135,node,4212293003,https://www.openstreetmap.org/node/4212293003,"Accademia ""B""",,,,,,,,,,,,openstreetmap
acces_ferry_maroc_cafdb8a,accès ferry maroc,ferry_terminal,43.40024,3.7029087,node,4551073437,https://www.openstreetmap.org/node/4551073437,accès ferry maroc,,,gnv,,,,,,,,,openstreetmap
acces_navettes_5ad4105,Accès navettes,harbour,43.5093666,7.0438385,node,9056125403,https://www.openstreetmap.org/node/9056125403,Accès navettes,,,,,,,,,,,,openstreetmap
aci_marina_mali_losinj_53692af,ACI - Marina Mali Losinj,marina,44.5436418,14.4604554,node,573259121,https://www.openstreetmap.org/node/573259121,ACI - Marina Mali Losinj,,marina,,,,,private,,,,,openstreetmap
aci_marina_zut_recepcija_65d39c7,ACI Marina  Žut (Recepcija),marina,43.8828749,15.2847997,node,5133779921,https://www.openstreetmap.org/node/5133779921,ACI Marina  Žut (Recepcija),,,,,,,,,,,,openstreetmap
aci_marina_cres_909b166,ACI Marina Cres,marina,44.9481564,14.414965,way,60501090,https://www.openstreetmap.org/way/60501090,ACI Marina Cres,,marina,Adriatic Croatia International Club,https://www.aci-marinas.com/aci_marina/aci-marina-cres/,+385 51 571-622;+385 98 398-839,17,,,461,,,openstreetmap
aci_marina_jezera_0c128db,ACI Marina Jezera,marina,43.7836627,15.6451524,way,25099391,https://www.openstreetmap.org/way/25099391,ACI Marina Jezera,,marina,Adriatic Croatia International Club,https://www.aci-marinas.com/aci_marina/aci-jezera/,+385 22 439 295,,,,233,,,openstreetmap
aci_marina_milna_de3330d,ACI Marina Milna,marina,43.3261382,16.4479299,way,183653467,https://www.openstreetmap.org/way/183653467,ACI Marina Milna,,marina,Adriatic Croatia International Club,https://www.aci-marinas.com/aci_marina/aci-milna/,+385 21/636306,17,,,183,,,openstreetmap
